,위도,경도
201,37.61314774,127.1051483
202,37.61882401,127.0875702
203,37.61362076,127.1011505
204,37.6114769,127.0773926
205,37.60982132,127.0781326
206,37.60520172,127.0785828
207,37.61535263,127.0784912
208,37.60408401,127.0792313
209,37.59489059,127.0749512
210,37.59581375,127.08284
211,37.57598495,127.0796051
212,37.59832764,127.0922699
213,37.58105469,127.0820923
214,37.58111191,127.080101
215,37.55758667,127.0796967
216,37.53950119,127.0830002
217,37.56565857,127.0842972
218,37.55048752,127.1089554
219,37.53805161,127.0765991
220,37.5352211,127.0683975
221,37.53701401,127.0610962
222,37.54595184,127.0780029
223,37.54822159,127.0678787
224,37.55341721,127.0731964
225,37.56864929,127.0862503
226,37.55125046,127.0351028
227,37.56460953,127.0291977
228,37.56626129,127.0236969
229,37.54281616,127.0420837
230,37.54370499,127.0932465
231,37.5625267,127.0822754
232,37.55686188,127.0791397
233,37.54251862,127.0840836
234,37.54342651,127.0966187
235,37.54171753,127.0801697
236,37.55023575,127.073822
237,37.54608917,127.0250702
238,37.56179047,127.0243912
239,37.55059814,127.1105118
240,37.54978943,127.0759277
241,37.56014633,127.0263596
242,37.55477905,127.0248413
243,37.56068039,127.0267792
244,37.53913879,127.0706177
245,37.54013824,127.0692825
246,37.53181076,127.0807419
247,37.54848862,127.0937576
248,37.55089188,127.0447617
249,37.54124832,127.06604
250,37.5450058,127.0900345
251,37.55137253,127.07444
252,37.55453873,127.0437775
253,37.55657959,127.0433579
254,37.56438065,127.0288696
255,37.54695892,127.0476685
256,37.55514145,127.071106
257,37.54404068,127.023201
258,37.55979919,127.0563278
259,37.54195786,127.0427704
260,37.565979,127.0431137
261,37.56681824,127.0291519
262,37.55610657,127.019783
263,37.55653,127.0391312
264,37.56339645,127.0418701
265,37.54590988,127.0446014
266,37.56370926,127.0564499
267,37.55926895,127.0383987
268,37.53680038,127.0908356
269,37.54707336,127.0982895
270,37.53507233,127.0761108
271,37.53956604,127.0724411
272,37.53809738,127.0890198
273,37.54434967,127.0654068
274,37.5513382,127.0767136
275,37.53657532,127.0825806
276,37.55500793,127.0858154
277,37.54788971,127.0674515
278,37.54747009,127.073967
279,37.54798889,127.0695038
280,37.55771255,127.0772705
281,37.54246521,127.0942307
282,37.55237198,127.0735397
283,37.56119156,127.0496826
284,37.54764938,127.074707
285,37.5465126,127.0757141
286,37.55775452,127.0729752
287,37.5450058,127.083374
288,37.53520966,127.0690002
289,37.52916336,127.0779877
290,37.53470993,127.0844727
291,37.54983902,127.1030273
292,37.56628036,127.0774765
293,37.54896927,127.0935288
294,37.53298569,127.0757904
295,37.52879333,127.0846329
296,37.5391922,127.0980148
297,37.59286499,127.0655594
298,37.59383774,127.0678177
299,37.59436417,127.0645981
300,37.56324005,127.057991
301,37.57739639,127.0718536
302,37.5676918,127.0578919
303,37.57958603,127.0302429
304,37.59139633,127.0402985
305,37.58392334,127.0682755
306,37.60460281,127.0669251
307,37.59087372,127.065361
308,37.57130051,127.0336227
309,37.57014847,127.0299225
310,37.57846832,127.0668945
311,37.58945084,127.0595627
312,37.54655838,127.0499878
313,37.54824448,127.0595779
314,37.5540123,127.0415497
315,37.55507278,127.0198898
316,37.55862045,127.0343552
317,37.55141449,127.044754
318,37.54127502,127.0484924
319,37.54332352,127.0597153
320,37.55140305,127.0463638
321,37.54753494,127.0668259
322,37.54808044,127.0646133
323,37.61571121,127.1010437
324,37.59268951,127.0802841
325,37.59596252,127.0847778
326,37.59432602,127.0784607
327,37.60641098,127.0940476
328,37.61022568,127.096283
329,37.58032227,127.0941544
330,37.6132164,127.0773468
331,37.59877777,127.0963898
332,37.61755371,127.1039963
333,37.58333206,127.0835495
334,37.60025406,127.091713
335,37.60548782,127.1046372
336,37.59780884,127.0884476
337,37.59354401,127.0897903
338,37.6030426,127.100502
339,37.57984543,127.0824204
340,37.6127243,127.11306
341,37.60428619,127.0973663
342,37.60446167,127.0974121
343,37.61727142,127.1085434
344,37.58686447,127.0953217
345,37.60064316,127.1040497
346,37.60655212,127.1070862
347,37.60924149,127.1062088
348,37.58973694,127.0941925
349,37.60405731,127.107254
