,date,bike_place,bike
214,2018-08-03,41,577
215,2018-08-04,41,577
216,2018-08-05,41,577
217,2018-08-06,41,577
218,2018-08-07,41,577
219,2018-08-08,41,577
220,2018-08-09,41,577
221,2018-08-10,41,577
222,2018-08-11,41,577
223,2018-08-12,41,577
224,2018-08-13,41,577
225,2018-08-14,41,577
226,2018-08-15,41,577
227,2018-08-16,41,577
228,2018-08-17,41,577
229,2018-08-18,41,577
230,2018-08-19,41,577
231,2018-08-20,41,577
232,2018-08-21,41,577
233,2018-08-22,41,577
234,2018-08-23,41,577
235,2018-08-24,41,577
236,2018-08-25,41,577
237,2018-08-26,41,577
238,2018-08-27,41,577
239,2018-08-28,41,577
240,2018-08-29,41,577
241,2018-08-30,42,592
242,2018-08-31,42,592
243,2018-09-01,42,592
244,2018-09-02,42,592
245,2018-09-03,42,592
246,2018-09-04,42,592
247,2018-09-05,42,592
248,2018-09-06,42,592
249,2018-09-07,42,592
250,2018-09-08,42,592
251,2018-09-09,42,592
252,2018-09-10,42,592
253,2018-09-11,42,592
254,2018-09-12,42,592
255,2018-09-13,42,592
256,2018-09-14,42,592
257,2018-09-15,42,592
258,2018-09-16,42,592
259,2018-09-17,42,592
260,2018-09-18,42,592
261,2018-09-19,42,592
262,2018-09-20,42,592
263,2018-09-21,42,592
264,2018-09-22,42,592
265,2018-09-23,42,592
266,2018-09-24,42,592
267,2018-09-25,42,592
268,2018-09-26,42,592
269,2018-09-27,42,592
270,2018-09-28,42,592
271,2018-09-29,42,592
272,2018-09-30,42,592
273,2018-10-01,42,592
274,2018-10-02,42,592
275,2018-10-03,42,592
276,2018-10-04,42,592
277,2018-10-05,42,592
278,2018-10-06,42,592
279,2018-10-07,42,592
280,2018-10-08,42,592
281,2018-10-09,42,592
282,2018-10-10,42,592
283,2018-10-11,42,592
284,2018-10-12,42,592
285,2018-10-13,42,592
286,2018-10-14,42,592
287,2018-10-15,42,592
288,2018-10-16,42,592
289,2018-10-17,42,592
290,2018-10-18,42,592
291,2018-10-19,42,592
292,2018-10-20,42,592
293,2018-10-21,42,592
294,2018-10-22,47,660
295,2018-10-23,47,660
296,2018-10-24,47,660
297,2018-10-25,47,660
298,2018-10-26,47,660
299,2018-10-27,47,660
300,2018-10-28,47,660
301,2018-10-29,47,660
302,2018-10-30,47,660
303,2018-10-31,47,660
304,2018-11-01,47,660
305,2018-11-02,47,660
306,2018-11-03,47,660
307,2018-11-04,48,670
308,2018-11-05,48,670
309,2018-11-06,48,670
310,2018-11-07,48,670
311,2018-11-08,48,670
312,2018-11-09,48,670
313,2018-11-10,48,670
314,2018-11-11,48,670
315,2018-11-12,48,670
316,2018-11-13,48,670
317,2018-11-14,48,670
