,date,clear_day,day_view_time,lst
0,2018-01-01,3270.1122240771656,118.0,13812.85605639028
1,2018-01-02,2052.823965869041,108.9718048599518,13781.62604340568
2,2018-01-03,2847.8521610090893,115.49063253570766,13700.363383416803
3,2018-01-04,2009.861968306922,106.0,13473.226647206004
4,2018-01-05,2853.6564644778337,113.0,13773.602300129844
5,2018-01-06,1940.2218292066696,104.0,13819.90778170793
6,2018-01-07,909.3756975510398,98.77702984123434,13786.169931125165
7,2018-01-08,387.6514328114434,101.40257742017776,13728.188392729648
8,2018-01-09,1720.006483600305,109.06464530892444,13642.696987032798
9,2018-01-10,3983.1200148395474,117.0,13544.612873307364
10,2018-01-11,1922.809868299017,107.0,13503.034130959006
11,2018-01-12,3097.014705882353,115.0,13434.800675675677
12,2018-01-13,2663.7384283165447,117.82285743964101,13576.669816640951
13,2018-01-14,1561.4795134443025,112.44600938967136,13808.14852752881
14,2018-01-15,1665.4278445883438,103.0,13962.934782608694
15,2018-01-16,2123.0354545049577,101.66756706169609,14026.602950356433
16,2018-01-17,2792.2110153201916,110.47916687327114,13996.748758851327
17,2018-01-18,3167.618552716462,118.67384138213758,13945.155942559937
18,2018-01-19,2743.9220923761823,115.49063253570766,13943.608235948806
19,2018-01-20,1887.1109586355617,106.0,13977.2099588316
20,2018-01-21,2178.4438879614167,113.0,13919.873492858467
21,2018-01-22,1171.5849818328622,104.0,13613.62858296326
22,2018-01-23,2430.8877691250573,112.0,13463.074209803024
23,2018-01-24,1327.776891405044,102.0,13407.545548121465
24,2018-01-25,1981.922125515346,109.00137425561157,13365.12597343106
25,2018-01-26,2356.2679798442514,117.0,13274.375629867156
26,2018-01-27,2189.891891891892,107.0,13507.72933227345
27,2018-01-28,3078.71137080319,115.0,13677.613615284736
28,2018-01-29,2011.8315711370808,105.0,13587.954368391764
29,2018-01-30,1882.5959107806689,112.292750929368,13647.492936802972
30,2018-01-31,1661.4418850984166,111.03872483134484,13704.972910300143
31,2018-02-01,2106.5976627712853,110.0,13750.985160452608
32,2018-02-02,3413.6102763865706,118.0,13785.977369690228
33,2018-02-03,1992.5099239473195,108.9539974030792,13655.341866073086
34,2018-02-04,3983.293637544055,115.41977369690224,13499.031163049527
35,2018-02-05,1993.5937673900944,106.0,13608.381932851047
36,2018-02-06,3098.877202745316,113.0,13508.534594694862
37,2018-02-07,1950.9122073578592,104.0,13505.116220735785
38,2018-02-08,2202.828417733259,112.0,13757.27249118902
39,2018-02-09,1224.222367651355,110.52276184750326,13634.203787546183
40,2018-02-10,1183.528269313768,109.06991799741046,13484.457919723782
41,2018-02-11,3443.5167872379893,117.0,13624.197736969025
42,2018-02-12,1485.9614105123087,107.0,13415.51031270792
43,2018-02-13,3720.230012984605,115.0,13863.5496197366
44,2018-02-14,3360.4662757709766,118.18732356602851,14092.24006015737
45,2018-02-15,2232.1639769987014,112.37247263958452,14015.782229641998
46,2018-02-16,2956.78408458542,103.0,13825.26432943795
47,2018-02-17,1994.6510851419036,110.0,13876.875718790578
48,2018-02-18,979.8860759493672,101.0,13294.291139240508
49,2018-02-19,1503.7604116171663,108.22105767523512,13506.520314118701
50,2018-02-20,2234.304581710258,115.41977369690224,13922.187163791505
51,2018-02-21,2062.729920237433,106.0,13829.416805787425
52,2018-02-22,3043.6114241305613,113.0,14009.395958810956
53,2018-02-23,2427.1217939624357,116.76728442323434,13822.429294558093
54,2018-02-24,1964.697572622364,112.0,13717.430760047751
55,2018-02-25,3166.1647168059426,102.0,14123.184586815229
56,2018-02-26,1987.2253756260432,109.03005008347246,14186.420886662956
57,2018-02-27,1172.001754034966,116.49021439011074,14111.419060860542
58,2018-02-28,1262.2422568114016,120.09253963901502,13982.858379445888
59,2018-03-01,1992.6034130959008,115.0,13952.423669078094
60,2018-03-02,2982.5212391022083,105.0,14062.739194954553
61,2018-03-03,2336.364310888518,112.56093489148584,14316.438694119832
62,2018-03-04,452.24660397613286,111.71803373716511,14122.303462444052
63,2018-03-05,140.44,110.0,13856.559999999998
64,2018-03-06,3255.4960254372013,118.0,13940.531597774245
65,2018-03-07,4797.546596838196,123.5464644435248,14036.236836365419
66,2018-03-08,3933.2803669613913,124.61079844830095,14087.345479206617
67,2018-03-09,2413.138008191722,121.11973322892669,14146.368557532665
68,2018-03-10,1987.560192914116,113.0,14265.817102578372
69,2018-03-11,2341.22657992565,104.0,14407.277881040887
70,2018-03-12,1790.939529457515,112.0,14389.843476570097
71,2018-03-13,1273.725144999209,113.08755727967234,14472.532556665134
72,2018-03-14,1138.470167064439,109.5007955449483,14569.969570405729
73,2018-03-15,1525.3369287181738,108.08797916156017,14547.206983404609
74,2018-03-16,1987.282693377852,107.0,14476.037655351513
75,2018-03-17,2077.2647244609125,104.38774993075985,14428.254445936194
76,2018-03-18,1795.283021967356,100.25122895383979,14403.857355158656
77,2018-03-19,1628.8997454220444,98.4890934999998,14369.283395371627
78,2018-03-20,2065.677054349842,103.0,14290.96957892784
79,2018-03-21,3105.614948750748,113.78394845384037,14168.915905827293
80,2018-03-22,3285.631608235949,118.0,14206.59654980523
81,2018-03-23,1992.8903728436285,109.0,14482.928399183826
82,2018-03-24,3225.0243555916377,116.0,14407.016034097827
83,2018-03-25,2037.4322018178448,106.0,14661.42886291968
84,2018-03-26,1989.4880356149135,113.67649786681508,14678.06826191801
85,2018-03-27,2095.458528037383,104.0,14713.343652647976
86,2018-03-28,2177.3633919595013,99.22549675573624,14825.989010298668
87,2018-03-29,2215.9630666763337,103.34878766063363,14965.75410321947
