,date,bike_place,bike
214,2018-08-03,48,548
215,2018-08-04,48,548
216,2018-08-05,48,548
217,2018-08-06,48,548
218,2018-08-07,48,548
219,2018-08-08,48,548
220,2018-08-09,48,548
221,2018-08-10,48,548
222,2018-08-11,48,548
223,2018-08-12,48,548
224,2018-08-13,48,548
225,2018-08-14,48,548
226,2018-08-15,48,548
227,2018-08-16,48,548
228,2018-08-17,48,548
229,2018-08-18,48,548
230,2018-08-19,48,548
231,2018-08-20,48,548
232,2018-08-21,48,548
233,2018-08-22,48,548
234,2018-08-23,48,548
235,2018-08-24,48,548
236,2018-08-25,48,548
237,2018-08-26,48,548
238,2018-08-27,48,548
239,2018-08-28,48,548
240,2018-08-29,48,548
241,2018-08-30,48,548
242,2018-08-31,48,548
243,2018-09-01,48,548
244,2018-09-02,48,548
245,2018-09-03,48,548
246,2018-09-04,48,548
247,2018-09-05,48,548
248,2018-09-06,48,548
249,2018-09-07,48,548
250,2018-09-08,48,548
251,2018-09-09,48,548
252,2018-09-10,48,548
253,2018-09-11,48,548
254,2018-09-12,48,548
255,2018-09-13,48,548
256,2018-09-14,48,548
257,2018-09-15,48,548
258,2018-09-16,48,548
259,2018-09-17,48,548
260,2018-09-18,48,548
261,2018-09-19,48,548
262,2018-09-20,48,548
263,2018-09-21,48,548
264,2018-09-22,48,548
265,2018-09-23,48,548
266,2018-09-24,48,548
267,2018-09-25,48,548
268,2018-09-26,48,548
269,2018-09-27,48,548
270,2018-09-28,48,548
271,2018-09-29,48,548
272,2018-09-30,48,548
273,2018-10-01,48,548
274,2018-10-02,48,548
275,2018-10-03,48,548
276,2018-10-04,48,548
277,2018-10-05,48,548
278,2018-10-06,48,548
279,2018-10-07,48,548
280,2018-10-08,48,548
281,2018-10-09,48,548
282,2018-10-10,48,548
283,2018-10-11,48,548
284,2018-10-12,48,548
285,2018-10-13,48,548
286,2018-10-14,48,548
287,2018-10-15,48,548
288,2018-10-16,48,548
289,2018-10-17,48,548
