,date,clear_day,day_view_time,lst
0,2018-01-01,3952.634354595682,118.0,13817.725431106652
1,2018-01-02,1030.6947026022306,109.0,13752.392657992566
2,2018-01-03,3043.3425414364656,116.0,13689.299179641725
3,2018-01-04,940.4670981661272,106.0,13411.232290542968
4,2018-01-05,2024.672526368659,113.09576427255986,13735.907416708524
5,2018-01-06,1480.733266398929,104.0,13729.161981258365
6,2018-01-07,491.265863030941,99.1317883901001,13647.008636885716
7,2018-01-08,-290.5645844813736,102.4933689409119,13569.229875690738
8,2018-01-09,719.5694138386956,110.0,13520.1264874394
9,2018-01-10,2758.7222501255646,117.0,13494.712874602375
10,2018-01-11,1106.474603174603,107.0,13440.85802469136
11,2018-01-12,2306.5399296835767,115.0,13380.541771304202
12,2018-01-13,1327.8365482138051,118.20608937239138,13426.939805094387
13,2018-01-14,230.16229923922228,113.0,13640.0
14,2018-01-15,1751.5425963488844,103.0,14004.127789046652
15,2018-01-16,3488.679380829267,101.49941734003288,14177.16085495941
16,2018-01-17,5041.0229762281115,110.71380668137218,14102.07214485911
17,2018-01-18,5444.110061245697,119.32129268202542,13959.7245381193
18,2018-01-19,3733.477314582288,116.0,13930.980914113508
19,2018-01-20,1006.5476190476192,106.0,13980.173539518904
20,2018-01-21,2415.70567553993,113.04838439645069,13902.58931860037
21,2018-01-22,1367.1739603153032,104.0,13712.908399021471
22,2018-01-23,1586.621138703816,112.0,13437.283767413688
23,2018-01-24,2054.931338028169,102.0,13344.06690140845
24,2018-01-25,1275.2339971550498,109.72119487908962,13322.471550497869
25,2018-01-26,3989.62588792423,117.0,13255.76913970008
26,2018-01-27,1390.6494974874374,107.0,13465.758291457289
27,2018-01-28,2303.2361722488045,115.0,13672.468133971292
28,2018-01-29,1791.177874684416,105.0,13565.365848060592
29,2018-01-30,1641.5497685185182,113.0,13556.057175925922
30,2018-01-31,1177.7160352712608,111.54288721522957,13589.39998287367
31,2018-02-01,1679.8881508079,110.0,13669.697486535011
32,2018-02-02,3551.173279758916,118.0,13771.607399966511
33,2018-02-03,1708.290023201857,109.0,13620.285204354814
34,2018-02-04,2405.2576594676048,116.0,13460.17964172108
35,2018-02-05,1574.2507824726138,106.0,13566.100938967136
36,2018-02-06,2290.4617445169933,113.07165578436296,13462.757575757576
37,2018-02-07,2294.7059073523164,104.0,13516.68402039949
38,2018-02-08,2103.419052402478,112.0,13717.962665327314
39,2018-02-09,830.8004748364144,111.14027726527905,13738.173817161904
40,2018-02-10,1081.257350800582,109.92605531295489,13669.17903930131
41,2018-02-11,3846.767286120877,117.0,13573.387242591663
42,2018-02-12,690.3758389261744,107.0,13216.26174496644
43,2018-02-13,2404.0815335677216,115.0,13835.349238238745
44,2018-02-14,2960.9352089278145,118.63172009963677,14089.453178826589
45,2018-02-15,2068.725096266533,113.0,14001.692951615603
46,2018-02-16,1211.7969123722553,103.0,13898.134811915636
47,2018-02-17,2077.8802946593005,110.0,13866.271220492215
48,2018-02-18,1724.688769167012,101.0,13386.81723995027
49,2018-02-19,1713.5270033055033,108.64002948129558,13481.29282735199
50,2018-02-20,1857.2953795379535,116.0,13797.956362302895
51,2018-02-21,1616.8162933526012,106.0,13859.246206647398
52,2018-02-22,1123.4176072234764,113.20579382994732,13977.911963882618
53,2018-02-23,793.9288125753867,116.96888478860251,13750.455698291426
54,2018-02-24,892.8256782738732,112.0,13680.628498184147
55,2018-02-25,1492.6012219959264,102.0,14165.594501018326
56,2018-02-26,1963.996316758748,109.9574753055416,14186.026284948935
57,2018-02-27,2881.2034061900094,117.60604416044697,14090.239816553267
58,2018-02-28,4027.014367218319,120.53396855053752,13980.696496194774
59,2018-03-01,3399.7095262012394,115.0,13939.155030972712
60,2018-03-02,1447.6261440509352,105.0,14022.789096697175
61,2018-03-03,2029.0102126234729,113.0,14334.144316089069
62,2018-03-04,924.8354548819036,112.11708706373517,13964.341563532545
63,2018-03-05,685.5095238095239,110.1190476190476,13656.285714285716
64,2018-03-06,3894.401305876444,118.0,14146.25096266533
65,2018-03-07,5748.294718447357,123.61561980384984,14442.02687278047
66,2018-03-08,5446.653747749707,124.94185296347334,14378.245038649311
67,2018-03-09,4128.220810259074,121.64104043827967,14223.813897984395
68,2018-03-10,2931.73832245103,113.37552318767789,14247.641888498243
69,2018-03-11,1924.2145128649904,104.0,14397.18589187627
70,2018-03-12,1396.0575005796431,112.0,14403.350568050082
71,2018-03-13,744.4280011875793,113.37424034458047,14490.573017619929
72,2018-03-14,489.94587843463785,110.0,14583.75020815987
73,2018-03-15,1264.8722482244614,108.39722153775543,14561.615737424829
74,2018-03-16,2240.9827557341378,107.0,14480.217813494057
75,2018-03-17,2590.0530461407557,104.24243042888698,14395.60464444682
76,2018-03-18,2312.0831194443153,100.1245128244164,14307.776230283118
77,2018-03-19,2065.001751397498,98.44433880773761,14229.025291560218
78,2018-03-20,2506.7377177529856,103.0,14171.644548835391
79,2018-03-21,3637.2910185107776,113.79149640120357,14135.63400210863
80,2018-03-22,3823.008203582791,118.0,14238.343713376864
81,2018-03-23,1995.6551146827396,109.0,14497.0435292148
82,2018-03-24,1392.4403444034438,116.0,14447.182041820415
83,2018-03-25,1765.0140332640342,106.02079002079005,14687.064449064448
84,2018-03-26,2904.3408672358946,114.0,14708.65494726268
85,2018-03-27,1150.5949546485265,104.0,14746.018140589573
86,2018-03-28,512.3611959861341,100.59664751697095,14834.78614940642
87,2018-03-29,1453.220881686229,107.04796127038549,14940.303500136586
88,2018-03-30,1983.90590992801,110.0,14878.202913108991
