,date,bike_place,bike
214,2018-08-03,49,611
215,2018-08-04,49,611
216,2018-08-05,49,611
217,2018-08-06,49,611
218,2018-08-07,49,611
219,2018-08-08,49,611
220,2018-08-09,49,611
221,2018-08-10,49,611
222,2018-08-11,49,611
223,2018-08-12,49,611
224,2018-08-13,49,611
225,2018-08-14,49,611
226,2018-08-15,49,611
227,2018-08-16,49,611
228,2018-08-17,49,611
229,2018-08-18,49,611
230,2018-08-19,49,611
231,2018-08-20,49,611
232,2018-08-21,49,611
233,2018-08-22,49,611
234,2018-08-23,49,611
235,2018-08-24,49,611
236,2018-08-25,49,611
237,2018-08-26,49,611
238,2018-08-27,49,611
239,2018-08-28,49,611
240,2018-08-29,49,611
241,2018-08-30,49,611
242,2018-08-31,49,611
243,2018-09-01,49,611
244,2018-09-02,49,611
245,2018-09-03,49,611
246,2018-09-04,49,611
247,2018-09-05,49,611
248,2018-09-06,49,611
249,2018-09-07,49,611
250,2018-09-08,49,611
251,2018-09-09,49,611
252,2018-09-10,49,611
253,2018-09-11,49,611
254,2018-09-12,49,611
255,2018-09-13,49,611
256,2018-09-14,49,611
257,2018-09-15,49,611
258,2018-09-16,49,611
259,2018-09-17,49,611
260,2018-09-18,49,611
261,2018-09-19,49,611
262,2018-09-20,49,611
263,2018-09-21,49,611
264,2018-09-22,49,611
265,2018-09-23,49,611
266,2018-09-24,49,611
267,2018-09-25,49,611
268,2018-09-26,49,611
269,2018-09-27,49,611
270,2018-09-28,49,611
271,2018-09-29,49,611
272,2018-09-30,49,611
273,2018-10-01,49,611
274,2018-10-02,49,611
275,2018-10-03,49,611
276,2018-10-04,49,611
277,2018-10-05,49,611
278,2018-10-06,49,611
279,2018-10-07,49,611
280,2018-10-08,49,611
281,2018-10-09,49,611
282,2018-10-10,49,611
283,2018-10-11,49,611
284,2018-10-12,49,611
285,2018-10-13,49,611
286,2018-10-14,49,611
287,2018-10-15,49,611
288,2018-10-16,49,611
289,2018-10-17,49,611
290,2018-10-18,49,611
291,2018-10-19,49,611
292,2018-10-20,49,611
293,2018-10-21,49,611
294,2018-10-22,49,611
295,2018-10-23,49,611
296,2018-10-24,54,674
297,2018-10-25,54,674
298,2018-10-26,54,674
299,2018-10-27,54,674
300,2018-10-28,54,674
301,2018-10-29,55,683
302,2018-10-30,55,683
303,2018-10-31,55,683
304,2018-11-01,55,683
305,2018-11-02,55,683
306,2018-11-03,55,683
307,2018-11-04,55,683
308,2018-11-05,55,683
309,2018-11-06,55,683
310,2018-11-07,55,683
311,2018-11-08,55,683
312,2018-11-09,55,683
313,2018-11-10,55,683
314,2018-11-11,55,683
315,2018-11-12,55,683
316,2018-11-13,55,683
317,2018-11-14,55,683
318,2018-11-15,55,683
319,2018-11-16,55,683
320,2018-11-17,55,683
321,2018-11-18,55,683
322,2018-11-19,55,683
323,2018-11-20,55,683
324,2018-11-21,55,683
325,2018-11-22,55,683
326,2018-11-23,55,683
327,2018-11-24,55,683
328,2018-11-25,55,683
329,2018-11-26,55,683
330,2018-11-27,55,683
331,2018-11-28,55,683
332,2018-11-29,55,683
333,2018-11-30,55,683
334,2018-12-01,55,683
335,2018-12-02,55,683
336,2018-12-03,55,683
337,2018-12-04,55,683
338,2018-12-05,55,683
339,2018-12-06,55,683
340,2018-12-07,55,683
341,2018-12-08,55,683
342,2018-12-09,55,683
343,2018-12-10,55,683
344,2018-12-11,55,683
345,2018-12-12,55,683
346,2018-12-13,55,683
347,2018-12-14,55,683
348,2018-12-15,55,683
349,2018-12-16,55,683
350,2018-12-17,55,683
351,2018-12-18,55,683
352,2018-12-19,55,683
353,2018-12-20,55,683
354,2018-12-21,55,683
355,2018-12-22,55,683
356,2018-12-23,55,683
357,2018-12-24,55,683
358,2018-12-25,55,683
359,2018-12-26,55,683
360,2018-12-27,55,683
361,2018-12-28,55,683
362,2018-12-29,55,683
363,2018-12-30,55,683
364,2018-12-31,55,683
365,2019-01-01,55,683
366,2019-01-02,55,683
367,2019-01-03,55,683
368,2019-01-04,55,683
369,2019-01-05,55,683
370,2019-01-06,55,683
371,2019-01-07,55,683
372,2019-01-08,55,683
373,2019-01-09,55,683
374,2019-01-10,55,683
375,2019-01-11,55,683
376,2019-01-12,55,683
377,2019-01-13,55,683
378,2019-01-14,55,683
379,2019-01-15,55,683
380,2019-01-16,55,683
381,2019-01-17,55,683
382,2019-01-18,55,683
383,2019-01-19,55,683
384,2019-01-20,55,683
385,2019-01-21,55,683
386,2019-01-22,55,683
387,2019-01-23,55,683
388,2019-01-24,55,683
389,2019-01-25,55,683
390,2019-01-26,55,683
391,2019-01-27,55,683
392,2019-01-28,55,683
393,2019-01-29,55,683
394,2019-01-30,55,683
395,2019-01-31,55,683
396,2019-02-01,55,683
397,2019-02-02,55,683
398,2019-02-03,55,683
399,2019-02-04,55,683
400,2019-02-05,55,683
401,2019-02-06,55,683
402,2019-02-07,55,683
403,2019-02-08,55,683
404,2019-02-09,55,683
405,2019-02-10,55,683
406,2019-02-11,55,683
407,2019-02-12,55,683
408,2019-02-13,55,683
409,2019-02-14,55,683
410,2019-02-15,55,683
411,2019-02-16,55,683
412,2019-02-17,55,683
413,2019-02-18,55,683
414,2019-02-19,55,683
415,2019-02-20,55,683
416,2019-02-21,55,683
417,2019-02-22,55,683
418,2019-02-23,55,683
419,2019-02-24,55,683
420,2019-02-25,55,683
421,2019-02-26,55,683
422,2019-02-27,55,683
423,2019-02-28,55,683
424,2019-03-01,55,683
425,2019-03-02,55,683
426,2019-03-03,55,683
427,2019-03-04,55,683
428,2019-03-05,55,683
429,2019-03-06,55,683
430,2019-03-07,55,683
431,2019-03-08,55,683
432,2019-03-09,55,683
433,2019-03-10,55,683
434,2019-03-11,55,683
435,2019-03-12,55,683
436,2019-03-13,55,683
437,2019-03-14,55,683
438,2019-03-15,55,683
439,2019-03-16,55,683
440,2019-03-17,55,683
441,2019-03-18,55,683
